Bin index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,max RBS,Average RBS,Total fold,CAI,AAA codon count,GCA codon count,TTT codon count,FE window 1,FE window 2,FE window 3,,,,,,,,,,,,,,,,
282,4372,3361,10853,4619,2042,3589,11767,8018,12331,4732,8811,7103,12083,8869,1467,2687,1311,4678,8800,11848,5877,11544,7082,5839,1489,1356,-2.792307692,-0.436858974,-19.09230769,0.518720866,0.192307692,0.423076923,0.5,-7.461538462,-7.257692308,-6.819230769,,,,,,,,,,,,,,,,
336,6122,4684,10541,6082,11613,5038,1038,10876,2569,809,8335,7368,9207,5879,11592,10066,8783,8919,4327,5838,12265,4819,641,2806,6168,5258,-2.534615385,-0.375,-18.43076923,0.513951015,0.230769231,0.230769231,0.5,-7.488461538,-7.223076923,-6.780769231,,,,,,,,,,,,,,,,
345,12258,12730,6814,11679,1330,5870,8778,878,12764,9269,9360,507,6733,7662,6928,2733,3518,9517,6597,6440,8598,7253,10500,1658,9073,2795,-2.815384615,-0.530288462,-18.56923077,0.542235196,0.576923077,0.230769231,0.653846154,-7.446153846,-7.3,-7.053846154,,,,,,,,,,,,,,,,
190,8701,7628,10840,1867,3797,3493,6779,3564,9554,5937,11762,6753,2201,4546,4261,6361,9368,11201,2108,12259,10549,1396,11178,4641,3835,7971,-2.380769231,-0.359935897,-19.26538462,0.531573605,0.615384615,0.269230769,0.461538462,-7.846153846,-7.261538462,-7.061538462,,,,,,,,,,,,,,,,
496,1065,4876,7283,12802,10218,1482,11368,1347,7669,7892,3884,5702,872,1427,3443,11406,1663,8730,3180,8552,6999,840,9054,3574,837,5035,-2.976923077,-0.504967949,-18.64230769,0.566244895,0.615384615,0.307692308,0.346153846,-7.938461538,-7.419230769,-7.011538462,,,,,,,,,,,,,,,,
324,8590,7299,5143,5536,12188,7432,7958,8228,4604,7088,7111,1793,675,4237,3484,7546,9257,3836,1379,9708,3872,1449,568,11829,2310,6192,-3.215384615,-0.517788462,-20.46538462,0.54516168,0.384615385,0.230769231,0.5,-8.119230769,-7.515384615,-7.476923077,,,,,,,,,,,,,,,,
92,9202,3876,4209,1636,10201,4582,2144,3242,6918,4151,9205,10012,5950,9713,1495,2867,11377,2681,2641,10532,8058,11959,468,11170,7637,3310,-2.707692308,-0.409775641,-18.12307692,0.571652295,0.307692308,0.307692308,1,-7.842307692,-7.35,-6.896153846,,,,,,,,,,,,,,,,
74,8318,12410,2556,12171,10852,4041,9612,588,11639,9637,5221,7121,4328,6385,5814,9876,11608,7655,12384,12507,1528,3704,1470,9541,3283,10609,-3.284615385,-0.5625,-19.13076923,0.545496307,0.192307692,0.423076923,0.230769231,-7.530769231,-7.307692308,-6.9,,,,,,,,,,,,,,,,
480,10931,10982,11034,11044,11065,11066,11114,11124,11135,11138,11167,11213,11246,11288,11294,11384,11396,11407,11409,11410,11422,11482,11585,11759,11831,11854,-3.330769231,-0.609134615,-18.36153846,0.563637029,0.153846154,0.230769231,0.5,-6.976923077,-6.9,-6.607692308,,,,,,,,,,,,,,,,
358,11319,11074,2063,7223,5173,4774,1503,1316,2391,7008,3979,2528,4168,1018,5507,3788,5261,11281,10162,8996,7249,11886,953,5548,9417,10807,-3.311538462,-0.666666667,-18.65769231,0.540710487,0.576923077,0.384615385,0.384615385,-7.753846154,-7.438461538,-7.273076923,,,,,,,,,,,,,,,,
302,11863,2118,8499,9463,7529,821,5364,4027,6629,11976,3775,3556,11845,2304,7814,1415,12676,4726,10553,11736,9015,10889,7918,6960,10174,8480,-2.476923077,-0.381891026,-19.02692308,0.592395983,0.153846154,0.653846154,0.461538462,-7.811538462,-7.184615385,-6.919230769,,,,,,,,,,,,,,,,
297,4791,3641,12351,10978,7341,2559,7959,7492,6064,8294,6940,5918,7162,8062,12229,6754,10551,3599,3767,1916,12196,5010,1163,4033,4950,6520,-2.415384615,-0.360096154,-19.20769231,0.520817275,0.576923077,0.5,0.5,-7.765384615,-7.242307692,-6.896153846,,,,,,,,,,,,,,,,
118,7266,5745,5644,8497,5001,3541,9869,8112,10871,4295,6140,8935,11274,1133,6877,1488,10662,11838,11474,4693,11828,12490,6748,5508,5854,996,-2.492307692,-0.402564103,-18.9,0.528695797,0.384615385,0.5,0.730769231,-7.396153846,-7.234615385,-7.05,,,,,,,,,,,,,,,,
70,11121,11122,11151,11152,11320,11429,11484,11534,11637,11699,11760,11785,11787,11813,11817,11874,11897,11944,11965,12007,12039,12064,12084,12096,12107,12108,-2.696153846,-0.490705128,-19.26923077,0.585159146,0.269230769,0.230769231,0.923076923,-6.930769231,-6.9,-6.557692308,,,,,,,,,,,,,,,,
464,2445,2062,5973,12378,3276,866,3761,542,10113,11427,8773,1575,7425,11560,3211,10672,3065,8926,9131,11209,3197,6139,3150,10744,8473,9230,-3.061538462,-0.452403846,-18.64230769,0.574372139,0.230769231,0.423076923,0.384615385,-7.746153846,-7.419230769,-6.976923077,,,,,,,,,,,,,,,,
495,6401,4425,9550,12006,3064,6492,11563,5942,4131,6100,10865,2488,10581,3975,3160,3042,12373,2866,2501,3682,11676,690,1289,3321,4350,11988,-2.873076923,-0.479487179,-17.97307692,0.568056293,0.461538462,0.307692308,0.538461538,-7.561538462,-7.323076923,-6.8,,,,,,,,,,,,,,,,
109,8411,1244,6580,11462,11398,1879,1119,973,4869,10922,854,9778,10466,6931,11915,1141,6993,4771,11245,8237,12600,1622,8481,12496,10197,7484,-2.607692308,-0.450641026,-19.56153846,0.539789378,0.269230769,0.346153846,0.423076923,-7.773076923,-7.307692308,-6.853846154,,,,,,,,,,,,,,,,
493,1166,3015,3135,4645,2720,4868,11382,12483,761,976,1982,2532,8959,2796,12513,4818,3033,2036,3189,9312,9798,12381,4937,6765,11190,9114,-2.823076923,-0.528525641,-18.81538462,0.602078839,0.269230769,0.307692308,0.384615385,-7.919230769,-7.5,-6.961538462,,,,,,,,,,,,,,,,
222,1433,1334,7947,1795,6243,2193,1226,7777,10124,4063,1125,4322,3301,3795,7855,5036,9578,5886,1050,11999,3850,10884,5087,7174,9624,500,-3.069230769,-0.557211538,-19.32692308,0.57252965,0.423076923,0.192307692,0.461538462,-8.238461538,-7.480769231,-7.011538462,,,,,,,,,,,,,,,,
64,5701,5725,5748,5755,5758,5766,5775,5796,5811,5817,5841,6008,6038,6043,6049,6056,6101,6113,6125,6152,6162,6170,6212,6237,6245,6246,-3.080769231,-0.457051282,-17.93076923,0.548494431,0.538461538,0.038461538,0.461538462,-6.969230769,-6.969230769,-6.711538462,,,,,,,,,,,,,,,,
452,4601,4578,8601,8043,9560,10913,11041,11625,1518,8675,4456,3555,2980,1605,3073,1395,8901,8204,8961,2022,6564,3503,777,10138,9276,791,-3.373076923,-0.564583333,-18.33846154,0.546110656,0.846153846,0.384615385,0.5,-7.696153846,-7.426923077,-7.053846154,,,,,,,,,,,,,,,,
91,6311,739,10754,1333,6972,635,7297,9004,6807,4125,1615,10246,11687,7910,10026,3805,7667,10758,5255,7729,8468,8390,4713,11925,2646,10835,-2.623076923,-0.460416667,-18.68461538,0.523725419,0.269230769,0.115384615,0.230769231,-7.773076923,-7.276923077,-7.019230769,,,,,,,,,,,,,,,,
271,3377,9413,2968,9780,10629,5648,4750,7615,7463,5625,1049,5935,1008,1129,12415,1645,11816,1571,4494,3613,5540,9464,7146,11413,3708,1525,-2.65,-0.412019231,-19.31153846,0.50657626,0.153846154,0.423076923,0.538461538,-7.473076923,-7.288461538,-6.888461538,,,,,,,,,,,,,,,,
423,6517,6501,7681,12346,4065,10364,9053,4195,12111,3506,3285,9511,8186,506,7005,11741,5835,3249,2100,5947,5336,2618,6710,2540,1434,7419,-3.538461538,-0.68349359,-18.55,0.56415458,0.269230769,0.384615385,0.269230769,-7.734615385,-7.307692308,-6.865384615,,,,,,,,,,,,,,,,
1,460,599,694,706,711,713,738,778,792,800,807,861,876,879,880,882,883,885,886,888,890,902,927,1022,1055,1075,-2.642307692,-0.416987179,-17.86923077,0.572208154,1.038461538,0.153846154,0.384615385,-8.4,-8.2,-7.215384615,,,,,,,,,,,,,,,,
79,605,7618,2178,6356,10611,5380,3312,4625,6196,8653,10612,3907,6105,4809,1997,12246,3183,5635,6578,8172,3718,5523,10610,12182,3945,4290,-3.457692308,-0.641987179,-18.69615385,0.550336895,0.307692308,0.269230769,0.423076923,-7.711538462,-7.253846154,-6.942307692,,,,,,,,,,,,,,,,
203,10335,12441,1625,1758,6467,658,6715,9471,5767,4420,11960,6428,10259,993,8397,9544,4796,3277,7053,11454,994,12859,10320,9969,7565,1861,-2.280769231,-0.337019231,-18.1,0.522870005,0.5,0.307692308,0.5,-7.634615385,-7.288461538,-6.853846154,,,,,,,,,,,,,,,,
142,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,-2.357692308,-0.373397436,-15.76153846,0.599515685,0.576923077,0.423076923,0.576923077,-3.607692308,-3.534615385,-3.642307692,,,,,,,,,,,,,,,,
123,5615,10988,6729,7906,7690,6856,1626,9221,4363,12134,12149,2327,10136,3247,2368,2600,1769,10692,11060,1210,3585,11257,10938,9375,521,8084,-3.176923077,-0.602724359,-19.47307692,0.58030097,0.461538462,0.423076923,1.192307692,-7.996153846,-7.338461538,-6.857692308,,,,,,,,,,,,,,,,
104,4440,12221,2644,8700,9076,11351,11706,12153,12342,5665,10652,12349,11710,6180,7408,10527,10260,4506,11390,8485,1865,10228,8894,11244,11425,1584,-3.6,-0.664583333,-18.70769231,0.506344394,0.538461538,0.153846154,0.192307692,-7.338461538,-7.119230769,-6.830769231,,,,,,,,,,,,,,,,
497,9185,3040,7982,10200,,,,,,,,,,,,,,,,,,,,,,,-4.625,-0.810416667,-17.5,0.680079514,0.25,0,0.25,-7.85,-7.325,-6.95,,,,,,,,,,,,,,,,
166,992,7854,2542,10940,4927,2627,6154,1052,12837,12668,10261,9892,1562,9340,1026,5911,10932,10697,3429,10621,8749,1759,11104,6812,11674,8075,-2.8,-0.46025641,-19.68461538,0.534781049,0.538461538,0.269230769,0.5,-7.746153846,-7.330769231,-6.934615385,,,,,,,,,,,,,,,,
205,5966,11019,5040,3384,6528,11163,8850,2612,3044,6571,11444,9710,7627,2361,8776,2469,3450,10720,11572,6708,11707,9950,10640,7220,11835,11648,-2.792307692,-0.467467949,-20.06538462,0.529469669,0.230769231,0.115384615,0.423076923,-7.696153846,-7.269230769,-6.846153846,,,,,,,,,,,,,,,,
189,9692,10826,7421,6794,2116,3612,10724,11144,1236,11255,3408,12047,12534,11665,6277,8512,3985,10973,10348,7160,4101,9178,8714,764,7620,2475,-3.334615385,-0.650320513,-18.21538462,0.550998178,0.153846154,0.230769231,0.423076923,-7.642307692,-7.269230769,-6.873076923,,,,,,,,,,,,,,,,
186,7715,10212,4081,4068,11171,6173,2393,530,4497,12769,1846,1621,1614,5799,3568,1066,6000,10967,62,6281,2346,9872,10077,10048,6426,6805,-2.565384615,-0.413141026,-19.42692308,0.535026588,0.423076923,0.307692308,0.269230769,-7.711538462,-7.215384615,-6.8,,,,,,,,,,,,,,,,
38,12463,12520,12541,12660,12685,12709,12748,12839,12877,5902,6612,9678,9136,1661,12888,2629,3236,3871,8881,9211,11057,1067,7769,12000,2011,4967,-3.076923077,-0.590224359,-19.91923077,0.562132359,0.423076923,0.384615385,0.769230769,-7.573076923,-7.180769231,-6.826923077,,,,,,,,,,,,,,,,
82,6104,5141,10663,9201,6194,7798,12648,11191,1687,11146,11353,5063,11303,3905,7748,1920,2309,3853,11004,11744,12551,7520,4842,5298,3771,8533,-2.376923077,-0.404487179,-19.02692308,0.574417601,0.307692308,0.192307692,0.576923077,-8,-7.111538462,-6.8,,,,,,,,,,,,,,,,
140,140,141,142,143,144,145,146,147,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,-2.634615385,-0.490544872,-17.26923077,0.546494497,0.384615385,0.538461538,0.730769231,-4.623076923,-4.665384615,-4.75,,,,,,,,,,,,,,,,
113,12869,11981,6491,11463,7394,3398,4697,813,2263,8344,3995,4239,10074,4802,6370,9827,4122,8034,8251,10984,2735,5426,10575,2774,9858,3192,-2.676923077,-0.434455128,-19.15769231,0.566225087,0.230769231,0.269230769,0.423076923,-7.723076923,-7.315384615,-7.092307692,,,,,,,,,,,,,,,,
318,5514,5568,8002,7316,12896,3680,4900,6433,9049,6257,8426,12243,10664,8703,6455,12202,10914,2035,1487,4032,10298,6981,10641,639,770,6376,-3.057692308,-0.585737179,-18.29230769,0.525279212,0.423076923,0.230769231,0.5,-7.465384615,-7.273076923,-7.15,,,,,,,,,,,,,,,,
6,5414,5424,5481,5484,5487,5597,5754,5787,5791,5816,5859,5873,5974,5991,6045,6048,6050,6094,6106,6201,6254,6256,6261,6298,6334,6337,-2.930769231,-0.502083333,-17.54615385,0.574360571,0.384615385,0.153846154,0.538461538,-6.980769231,-6.992307692,-6.734615385,,,,,,,,,,,,,,,,
418,11968,11971,11977,11984,12021,12052,12053,12071,12081,12082,12103,12217,12234,12235,12302,12308,12309,12310,12312,12316,12320,12323,12324,12330,12334,12365,-3.219230769,-0.531891026,-18.9,0.53445512,0.269230769,0.307692308,0.307692308,-6.9,-6.9,-6.715384615,,,,,,,,,,,,,,,,
167,10555,5961,12231,1227,5926,9270,10419,3616,11800,12004,7907,12035,8684,12143,9497,8105,496,12754,9898,7240,4838,9833,8090,10181,1514,12645,-2.607692308,-0.430929487,-20.59230769,0.500707715,0.346153846,0.384615385,0.653846154,-7.430769231,-7.096153846,-6.815384615,,,,,,,,,,,,,,,,
110,6360,11758,10767,4441,11470,2085,3936,787,12281,6968,5295,2055,4918,4148,5386,11225,6019,4807,12625,10693,11055,9529,5530,8121,12400,7519,-2.211538462,-0.35,-19.65,0.521298817,0.384615385,0.153846154,0.615384615,-7.453846154,-7.096153846,-6.819230769,,,,,,,,,,,,,,,,
85,4373,7550,2418,1060,3551,6430,1216,5515,7786,3002,6707,7784,6381,8546,9736,12142,11820,5466,3990,7285,9040,10205,11858,9265,5389,11515,-2.965384615,-0.521634615,-18.74615385,0.56084004,0.384615385,0.153846154,0.615384615,-7.711538462,-7.269230769,-6.946153846,,,,,,,,,,,,,,,,
66,7026,7040,7050,7055,7060,7077,7084,7102,7105,7128,7155,7185,7188,7190,7218,7237,7251,7254,7259,7282,7295,7312,7389,7400,7457,7496,-2.469230769,-0.379967949,-19.25,0.530180133,0.307692308,0.653846154,0.423076923,-7.384615385,-7.696153846,-8.130769231,,,,,,,,,,,,,,,,
296,10715,2099,2126,2431,7100,2449,7905,6012,9423,4886,6225,10192,12813,5661,9882,7028,6680,4165,9503,5090,7467,8887,10667,6563,5686,10308,-2.515384615,-0.463782051,-18.76538462,0.563811445,0.346153846,0.346153846,0.346153846,-7.688461538,-7.207692308,-6.961538462,,,,,,,,,,,,,,,,
132,6837,7764,5558,734,10969,8633,3519,8451,7346,9556,6494,9756,12190,2352,8738,1081,12128,8522,11210,2338,8801,451,9177,9204,9528,607,-2.330769231,-0.402724359,-18.01923077,0.576744217,0.538461538,0.076923077,0.307692308,-7.857692308,-7.342307692,-6.965384615,,,,,,,,,,,,,,,,
392,1677,5544,1546,8682,11197,7912,5512,8846,2988,449,7221,4946,8270,5166,6579,5324,6029,6418,1312,8743,562,5847,9879,7980,10516,9138,-2.9,-0.482692308,-19.36538462,0.528745411,0.384615385,0.307692308,0.423076923,-7.680769231,-7.361538462,-7.092307692,,,,,,,,,,,,,,,,
456,11815,4228,1001,1192,891,3090,7685,8750,11661,2472,11341,7309,6699,6226,7042,7518,9003,5511,349,12407,1748,3776,1332,7164,3496,5201,-2.696153846,-0.391987179,-17.95769231,0.558429062,0.384615385,0.423076923,0.307692308,-7.665384615,-7.4,-7.203846154,,,,,,,,,,,,,,,,
244,3347,8645,10233,11126,11824,4412,1796,6685,8489,6451,10118,6654,12722,6233,5683,3952,10095,2788,1323,10125,8831,4166,3655,4405,3445,3341,-2.15,-0.349519231,-18.53846154,0.510844541,0.576923077,0.192307692,0.576923077,-7.480769231,-7.392307692,-7.096153846,,,,,,,,,,,,,,,,
250,8896,6478,7650,7296,2400,10390,11774,11295,5774,1187,12822,8127,10286,10356,1911,8416,7647,3955,3857,9443,4757,4297,4874,4104,4248,11735,-2.615384615,-0.426923077,-19.82692308,0.528690608,0.153846154,0.307692308,0.576923077,-7.865384615,-7.203846154,-6.930769231,,,,,,,,,,,,,,,,
212,5670,3559,1241,7706,5151,4052,2081,6556,7728,651,6477,1635,10297,11211,1171,1784,8366,6293,6037,8143,6219,4183,6184,8687,4378,11449,-2.780769231,-0.487179487,-19.18846154,0.575320576,0.423076923,0.192307692,0.461538462,-7.992307692,-7.446153846,-7.084615385,,,,,,,,,,,,,,,,
121,2444,11430,535,11748,5025,7407,9241,2156,6059,11416,11697,9264,10915,7294,2242,8115,2044,528,1699,2548,3783,11732,9576,7272,5107,11690,-2.765384615,-0.495192308,-19.08846154,0.549751679,0.653846154,0.307692308,0.615384615,-8.188461538,-7.388461538,-6.9,,,,,,,,,,,,,,,,
268,7092,10291,7277,8677,5073,7510,11527,12209,4901,4397,5889,1294,11786,10282,3557,4321,949,7021,8987,6111,3388,10837,5842,10018,5285,9344,-3.003846154,-0.588461538,-19.77307692,0.534432613,0.192307692,0.269230769,0.730769231,-7.215384615,-7.157692308,-6.8,,,,,,,,,,,,,,,,
231,7440,6236,12849,2191,5157,11664,11317,2290,1207,6147,3915,9572,6739,10408,1961,4087,8521,9906,4243,10709,5850,498,5318,5856,8402,8283,-2.903846154,-0.478685897,-19.1,0.554702716,0.5,0.115384615,0.730769231,-7.907692308,-7.230769231,-6.861538462,,,,,,,,,,,,,,,,
234,3851,5805,12343,10654,5894,11788,3395,7357,12095,7705,11930,9650,9845,10791,1927,8350,1850,2809,3571,6291,11496,5953,12720,1915,5179,2493,-2.392307692,-0.347435897,-19.29615385,0.57916746,0.307692308,0.153846154,1,-7.961538462,-7.246153846,-6.907692308,,,,,,,,,,,,,,,,
398,7697,11431,12477,4760,12828,7827,8780,3151,9147,2639,3681,4485,2464,3459,1894,10708,7766,5144,6304,1002,7978,4283,9174,10327,10885,6632,-2.823076923,-0.521955128,-18.73076923,0.584879301,0.230769231,0.307692308,0.615384615,-7.926923077,-7.288461538,-7.038461538,,,,,,,,,,,,,,,,
479,10030,10043,10107,10132,10140,10180,10215,10216,10240,10358,10375,10378,10386,10510,10601,10756,10820,10824,10861,10863,10891,10893,10894,10896,10897,10900,-3.307692308,-0.653525641,-18.02307692,0.513326543,0.192307692,0.423076923,0.346153846,-6.9,-6.923076923,-6.626923077,,,,,,,,,,,,,,,,
475,7289,7340,7354,7392,7428,7447,7461,7475,7526,7591,7597,7598,7602,7654,7687,7762,7771,7840,7876,7922,7923,7924,7937,7966,8025,8026,-2.546153846,-0.361057692,-19.58461538,0.578290514,0.192307692,0.384615385,0.423076923,-8.657692308,-7.203846154,-7.292307692,,,,,,,,,,,,,,,,
136,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,-2.534615385,-0.423237179,-17.21538462,0.568312868,0.384615385,0.307692308,0.807692308,-5.634615385,-5.380769231,-4.826923077,,,,,,,,,,,,,,,,
106,5542,10342,6796,7716,7384,8878,4992,1862,6891,10366,10115,2159,1719,6995,8866,4638,1926,1800,11149,11714,1901,3552,9877,12225,7933,1969,-2.976923077,-0.544711538,-19.3,0.544374925,0.269230769,0.5,0.576923077,-8.25,-7.376923077,-6.973076923,,,,,,,,,,,,,,,,
182,9972,6951,2676,8638,5194,11518,9836,11612,9474,2972,11958,2820,4872,6908,8563,3651,7759,1201,8708,2674,3765,9407,6587,1965,10593,6464,-2.419230769,-0.386538462,-18.26923077,0.53671091,0.269230769,0.269230769,0.346153846,-7.519230769,-7.261538462,-6.911538462,,,,,,,,,,,,,,,,
477,8651,8655,8694,8699,8724,8731,8755,8766,8767,8768,8769,8770,8771,8772,8785,8903,8933,8951,8965,8967,8970,8972,8974,8997,9028,9037,-1.838461538,-0.169551282,-17.32307692,0.515002719,0.076923077,0.153846154,1.538461538,-7.2,-7.2,-7.115384615,,,,,,,,,,,,,,,,
30,3777,3809,3830,3833,3838,3844,3865,3886,3937,3977,4045,4072,4077,4085,4096,4229,4247,4277,4286,4331,4393,4399,4410,4556,4563,4580,-2.796153846,-0.56025641,-19.42307692,0.558102305,0.230769231,0.5,0.384615385,-7.657692308,-7.192307692,-7.169230769,,,,,,,,,,,,,,,,
355,3607,558,12783,4018,11927,8950,3213,9383,5136,7936,8984,12227,11506,9061,11644,11546,11279,3912,7466,5643,4499,8941,2836,4089,1587,11513,-2.961538462,-0.525320513,-18.61538462,0.549656682,0.115384615,0.269230769,0.461538462,-7.388461538,-7.142307692,-6.753846154,,,,,,,,,,,,,,,,
187,9543,12382,10102,9100,10057,6902,2953,2269,9240,9764,7736,5053,10279,6150,10129,12840,4211,9819,7323,5851,9353,11435,10029,9461,5439,2759,-2.823076923,-0.540064103,-18.55384615,0.541715216,0.346153846,0.384615385,0.615384615,-7.419230769,-7.157692308,-6.942307692,,,,,,,,,,,,,,,,
440,1904,1462,11583,12785,12856,10067,462,11520,8386,9293,2614,3290,10799,7935,3246,5716,10473,11465,8822,3649,12646,1829,9386,7343,6760,2771,-2.838461538,-0.465865385,-18.41538462,0.592230567,0.346153846,0.384615385,0.615384615,-7.765384615,-7.326923077,-6.823076923,,,,,,,,,,,,,,,,
196,10160,2697,2605,7459,4916,6127,10789,3962,6255,2727,2362,805,12874,4334,4180,11531,2807,3076,11285,9926,1549,9844,9080,2507,9644,5988,-2.823076923,-0.507051282,-19.82307692,0.545560751,0.384615385,0.269230769,0.615384615,-7.707692308,-7.407692308,-6.973076923,,,,,,,,,,,,,,,,
10,10232,10254,10301,10387,10402,10432,10434,10614,10682,10764,10766,10780,10857,10875,10880,10892,10907,10936,10937,11003,11008,11014,11022,11029,11054,11099,-3,-0.511217949,-17.32307692,0.496720694,0.153846154,0.346153846,0.538461538,-6.9,-6.973076923,-6.719230769,,,,,,,,,,,,,,,,
303,8748,6809,9561,8762,6406,5994,5689,1013,6862,9825,8365,5746,8415,661,10888,1603,4204,11877,5149,9948,10185,9242,6830,1817,7110,6016,-2.646153846,-0.463301282,-20.07307692,0.527696294,0.115384615,0.346153846,0.461538462,-7.584615385,-7.292307692,-6.965384615,,,,,,,,,,,,,,,,
174,5322,6264,1682,6107,8999,3946,7350,11618,5098,2590,12784,10741,10944,6003,995,1539,6974,4468,3702,7652,11939,895,9332,3794,5376,7711,-2.626923077,-0.408012821,-19.09230769,0.532889598,0.538461538,0.307692308,0.653846154,-7.669230769,-7.207692308,-6.823076923,,,,,,,,,,,,,,,,
75,11728,11016,6041,4129,11376,2666,10955,9521,2725,2367,11851,7949,6523,1978,8754,867,9453,8008,10886,11919,10916,1743,6095,2344,3437,3284,-2.865384615,-0.459134615,-18.88461538,0.544684493,0.384615385,0.346153846,0.461538462,-7.880769231,-7.353846154,-6.8,,,,,,,,,,,,,,,,
460,10845,6770,1091,9397,4175,6158,10847,8994,3973,1569,5039,9445,9640,9041,10545,1852,3050,6545,4424,1266,5069,7761,1132,9398,6198,7850,-2.65,-0.433333333,-18.60769231,0.570375531,0.538461538,0.192307692,0.307692308,-7.761538462,-7.430769231,-7.173076923,,,,,,,,,,,,,,,,
439,4339,9033,5084,2331,1775,5031,4289,4846,7051,12390,2399,789,5541,1884,3393,2365,3372,6961,967,3206,9292,9394,3392,8975,1168,12424,-2.623076923,-0.479166667,-19.83846154,0.54171883,0.384615385,0.423076923,0.5,-8.192307692,-7.565384615,-7.15,,,,,,,,,,,,,,,,
348,9947,5409,8061,2999,8286,2064,11347,10022,7331,875,12339,2080,10934,10959,10605,8865,9424,3602,11825,1990,1869,5781,7586,5249,4540,4935,-2.626923077,-0.445352564,-18.58846154,0.579459421,0.346153846,0.269230769,0.807692308,-7.992307692,-7.25,-6.85,,,,,,,,,,,,,,,,
